company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
AIRFEU SA,0,,0,U,0,0,0,0,3,3,0,Non,H,53,46 - 55,Non,1,,,,,,,,,,,,,,
AIROX,0,,867,D,3,0,0,0,15,1,15,Non,H,52,46 - 55,Non,3,,,,,,-0.773921201,3.805970149,5.833688699,,,,,,
AIS MANDARINE ACTIVE,0,,0,U,2,0,0,0,4,2,2,Non,H,53,46 - 55,Non,6,,,,,,,,,,,,,,
AKWEL SA,0,,51,D,18,0,0,0,30,18,20,Non,H,41,36 - 45,Non,15,-21.15298423,-6.159752252,-1.139606707,-0.483887538,-95.29742759,-0.773921201,2.805970149,1.833688699,32.10987368,37.40331974,18.38539098,27.65076012,3.094002946,6.996909605
ALBIOMA,0,,89,A+,47,0,0,0,46,25,26,Oui,H,44,36 - 45,Non,29,-14.89198423,-3.566752252,-2.103606707,-1.228887538,-94.33742759,-0.773921201,-3.194029851,-1.166311301,14.12387368,17.74531974,5.553390977,13.87076012,-2.130997054,8.765909605
ALCATEL-LUCENT SAS,1,2015,494,D,2,0,0,0,73,43,46,Non,H,55,46 - 55,Non,2,,,,,,-1.773921201,,,,,,,,
ALCION GROUP,0,,127,D,1,4,2,4,20,8,17,Non,H,50,46 - 55,Non,13,,,,,,-1.773921201,2.805970149,0.833688699,,,,,,
ALD,0,,1009,D,25,0,0,0,36,20,22,Non,H,52,46 - 55,Non,24,,,,,,-0.773921201,-3.194029851,-4.166311301,,,,,,
ALDETA,0,,353,D,2,2,0,2,9,3,7,Non,,53,46 - 55,Non,1,,,,,,-2.773921201,3.805970149,4.833688699,,,,,,
ALES GROUPE,1,2018,29,D,10,4,4,1,37,23,27,Non,H,90,> 75,Oui,3,,,-1.125606707,-0.883887538,-103.1884276,4.226078799,-3.194029851,-3.166311301,11.63487368,9.457319737,2.854390977,11.50576012,0.033002946,-3.585090395
ALGECO S.A.,0,,0,D,1,4,4,4,34,17,20,Oui,H,43,36 - 45,Non,24,,,,,,-2.773921201,-0.194029851,1.833688699,,,,,,
ALLIANZ ACTIO FRANCE,0,,1787,D,4,0,0,0,17,9,10,Non,H,49,46 - 55,Non,5,,,,,,,,,,,,,,
ALLIANZ FRANCE SA,0,,1787,D,2,0,0,0,55,31,25,Oui,H,65,56 - 65,Non,11,,,,,,-1.773921201,,,,22.62031974,18.04439098,,,
ALPHA MOS,0,,7,B+,6,3,3,3,39,15,27,Non,H,54,46 - 55,Non,2,,,-0.789606707,-0.203887538,-108.6444276,,1.805970149,1.833688699,7.434873684,2.721319737,-0.218609023,9.92476012,13.78300295,-7.460090395
ALSA CIENNE DE SUPERMARCHES SA,0,,0,U,0,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
ALSTOM,0,,1454,B+,114,2,0,2,77,41,59,Oui,H,51,46 - 55,Non,46,-9.870984234,-6.495752252,-1.585606707,-1.175887538,-91.94142759,-1.773921201,-3.194029851,-2.166311301,12.51387368,12.33131974,3.324390977,14.70976012,-0.392997054,-1.566090395
ALTAREA S.A.,0,,353,B+,28,2,2,2,76,57,33,Non,H,72,66 - 75,Non,14,-17.75598423,,-2.234606707,-1.211887538,74.67557241,-1.773921201,,,,16.84831974,5.898390977,,,11.0989096
ALTAREIT,0,,353,D,5,2,1,2,64,56,13,Non,H,72,66 - 75,Non,14,-19.82798423,,-2.426606707,-1.453887538,128.5225724,-1.773921201,-3.194029851,-3.166311301,17.40187368,21.99431974,4.644390977,15.79676012,-2.130997054,0.135909605
ALTEDIA,0,,458,C,1,0,0,0,12,4,9,Non,H,51,46 - 55,Non,3,,,,,,1.226078799,2.805970149,0.833688699,,,,,,
ALTEN,0,,182,A+,70,1,1,0,22,18,12,Oui,H,64,56 - 65,Oui,17,-10.95798423,-5.776752252,-0.202606707,0.086112462,-86.90042759,-2.773921201,0.805970149,0.833688699,27.48587368,27.39131974,13.55139098,23.11976012,-2.130997054,4.254909605
ALTI,0,,37,D,2,0,0,0,35,28,12,Oui,H,57,56 - 65,Non,156,,,,,,-0.773921201,-3.194029851,-4.166311301,,,,,,
ALTICE FRANCE S.A.,1,2016,504,D,1,1,1,1,45,16,32,Non,H,59,56 - 65,Non,51,,,,,,-0.773921201,-3.194029851,-4.166311301,11.43787368,1.603319737,1.197390977,12.52776012,-2.130997054,-6.193090395
ALTRAN TECHNOLOGIES,1,2019,398,D,13,0,0,0,61,25,44,Oui,H,59,56 - 65,Non,34,,,,,,-0.773921201,-3.194029851,-4.166311301,23.27687368,26.31831974,9.444390977,20.41876012,-2.130997054,3.197909605
ALTUR INVESTISSEMENT,0,,20,A+,14,3,3,1,22,9,16,Non,H,72,66 - 75,Oui,6,,,-2.575606707,-0.940887538,-101.4714276,-1.773921201,,,8.619873684,5.801319737,1.407390977,9.92076012,,
ALVEEN,0,,0,D,3,1,1,1,4,3,3,Non,,53,46 - 55,Non,1,,,,,,1.226078799,-3.194029851,-4.166311301,-14.84812632,-24.90368026,-12.36360902,5.86776012,41.33400295,-38.4290904
AMOEBA,0,,3,A+,11,1,1,0,24,16,15,Non,H,49,46 - 55,Oui,1,,,5.022393293,5.000112462,-105.7314276,5.226078799,3.805970149,5.833688699,-19.69112632,-24.85568026,-23.02460902,-18.39023988,,
AMPLITUDE SURGICAL,0,,24,B+,31,2,2,1,22,18,5,Non,H,53,46 - 55,Oui,13,936.5070158,,-1.940606707,-1.006887538,-106.3234276,-0.773921201,-3.194029851,-3.166311301,9.085873684,3.649319737,0.585390977,11.83176012,-2.130997054,-8.284090395
AMS PACKAGING SA,0,,0,U,0,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF DAX UCITS ETF DR,0,,0,U,2,0,0,0,1,1,0,Non,H,48,46 - 55,Non,9,,,,,,,,,,,,,,
AMUNDI ETF EURO INFLATION UCITS ETF DR,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF GOVIES 0-6 MONTHS EUROMTS INVESTMENT GRADE UCITS ETF DR,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF GOVT BOND EUROMTS BROAD INVESTMENT GRADE 1-3 UCITS ETF DR,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF GOVT BOND EUROMTS BROAD INVESTMENT GRADE 10-15 UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF GOVT BOND EUROMTS BROAD INVESTMENT GRADE 3-5 UCITS ETF DR,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF GOVT BOND EUROMTS BROAD INVESTMENT GRADE 5-7 UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF GOVT BOND EUROMTS BROAD INVESTMENT GRADE 7-10 UCITS ETF DR,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF ISTOXX EUROPE MULTI-FACTOR MARKET NEUTRAL UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF LEVERAGED MSCI USA DAILY UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,6,,,,,,,,,,,,,,
AMUNDI ETF MSCI EMU HIGH DIVIDEND UCITS ETF,0,,0,U,2,0,0,0,1,1,0,Non,H,53,46 - 55,Non,8,,,,,,,,,,,,,,
AMUNDI ETF MSCI EUROPE BANKS UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,,53,46 - 55,Non,13,,,,,,,,,,,,,,
AMUNDI ETF MSCI EUROPE BUYBACK UCITS ETF,0,,0,U,2,0,0,0,1,1,0,Non,,53,46 - 55,Non,13,,,,,,,,,,,,,,
AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,,53,46 - 55,Non,13,,,,,,,,,,,,,,
AMUNDI ETF MSCI EUROPE EX EMU UCITS ETF,0,,0,U,2,0,0,0,1,1,0,Non,F,47,46 - 55,Non,15,,,,,,,,,,,,,,
AMUNDI ETF MSCI EUROPE HEALTHCARE UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,F,47,46 - 55,Non,15,,,,,,,,,,,,,,
AMUNDI ETF MSCI FRANCE UCITS ETF,0,,0,U,2,0,0,0,1,1,0,Non,,53,46 - 55,Non,13,,,,,,,,,,,,,,
AMUNDI ETF MSCI SPAIN UCITS ETF,0,,0,U,2,0,0,0,1,1,0,Non,H,48,46 - 55,Non,9,,,,,,,,,,,,,,
AMUNDI ETF MSCI UK UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,F,47,46 - 55,Non,15,,,,,,,,,,,,,,
