nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
ELECTRICITE DE STRASBOURG,0,1378,D,8,0,0,0,56,29,47,Oui,H,51,46 - 55,Non,26,-18.46398423,-0.985606707,-1.149887538,-62.49142759,-2.773921201,-3.194029851,-2.166311301,16.18087368,40.06431974,8.560390977,14.45576012,-2.130997054,7.617909605
ELIOR GROUP,0,256,A+,73,1,1,0,55,27,35,Non,H,66,66 - 75,Non,54,-3.890984234,-0.984606707,-0.916887538,-99.81942759,2.226078799,-3.194029851,-4.166311301,15.20287368,20.12731974,5.981390977,14.23476012,-2.130997054,-1.025090395
EO2,0,7,B+,8,2,2,1,20,6,16,Non,H,51,46 - 55,Oui,4,-17.57798423,-2.688606707,-1.325887538,-103.7914276,5.226078799,1.805970149,1.833688699,8.393873684,5.227319737,1.271390977,13.39676012,-2.130997054,-5.195090395
EURAZEO,0,1273,A+,59,3,3,0,67,55,34,Oui,H,51,46 - 55,Non,80,-20.62498423,-2.503606707,-1.231887538,-40.71042759,-2.773921201,-1.194029851,-3.166311301,16.58087368,19.11231974,8.273390977,16.07976012,-2.130997054,17.6939096
EUROGERM,0,20,D,7,3,3,1,28,17,15,Non,H,60,56 - 65,Oui,13,-9.259984234,-0.583606707,0.024112462,-99.15942759,-1.773921201,2.805970149,1.833688699,23.11487368,24.95731974,13.25839098,18.54176012,-1.565997054,3.621909605
EUROMEDIS GROUPE,0,5,D,12,4,4,3,15,9,10,Non,H,42,36 - 45,Oui,4,-8.438984234,-2.627606707,-1.291887538,-99.20842759,-0.773921201,1.805970149,-0.166311301,11.48187368,9.994319737,3.687390977,12.44776012,-2.130997054,-3.214090395
EUTELSAT COMMUNICATIONS,0,84,A+,100,0,0,0,39,24,22,Oui,H,61,56 - 65,Non,12,-12.37698423,-1.794606707,-1.158887538,-97.09142759,2.226078799,-3.194029851,-0.166311301,16.51087368,26.67831974,8.048390977,15.01276012,-1.260997054,32.0609096
EXACOMPTA CLAIREFONTAINE,0,57,D,4,1,1,1,28,22,9,Non,H,85,> 75,Non,15,-19.74798423,-2.898606707,-1.400887538,233.5565724,-0.773921201,2.805970149,2.833688699,11.10687368,9.653319737,3.817390977,12.42476012,-2.130997054,-2.455090395
EXEL INDUSTRIES,0,116,D,14,2,2,2,27,25,7,Non,H,77,> 75,Non,27,-15.02098423,-1.681606707,-0.934887538,-64.78142759,-1.773921201,-0.194029851,-0.166311301,18.33587368,21.98531974,8.522390977,16.26176012,-2.130997054,1.452909605
FAURECIA,0,693,D,56,4,1,0,65,56,28,Oui,H,69,66 - 75,Non,10,-20.87898423,-1.632606707,-1.122887538,-85.96842759,-1.773921201,-3.194029851,-3.166311301,24.17987368,28.34631974,8.373390977,24.23776012,-1.891997054,-0.990090395
FIDUCIAL REAL ESTATE,0,110,D,3,1,1,1,9,5,5,Non,H,74,66 - 75,Non,13,-15.30698423,-2.272606707,-1.168887538,12.62257241,-1.773921201,2.805970149,1.833688699,13.77287368,14.31131974,5.395390977,15.05576012,-2.130997054,28.2979096
FINANCIERE DE L'ODET SE,0,1999,D,9,1,1,1,37,31,17,Oui,H,68,66 - 75,Oui,26,-6.033984234,-2.668606707,-1.375887538,1142.269572,-1.773921201,-1.194029851,-1.166311301,16.68587368,15.87531974,5.596390977,13.78476012,-2.130997054,3.117909605
FINATIS,0,1590,D,4,1,1,1,33,28,7,Oui,H,58,56 - 65,Non,9,-27.36498423,-3.220606707,-1.598887538,2088.138572,-2.773921201,-3.194029851,-4.166311301,18.59587368,23.25731974,6.572390977,13.98876012,-2.130997054,0.091909605
FLEURY MICHON,0,23,B+,20,2,2,1,41,21,29,Non,H,55,46 - 55,Non,2,-12.31598423,-1.969606707,-1.145887538,-58.31042759,-1.773921201,-1.194029851,-0.166311301,13.80187368,15.52531974,5.104390977,14.00176012,-2.130997054,-1.899090395
FONCIERE ATLAND,0,54,C+,13,6,3,1,22,19,10,Non,H,56,56 - 65,Oui,23,-22.66198423,-2.191606707,-1.159887538,-26.23642759,0.226078799,1.805970149,0.833688699,21.41087368,27.53131974,10.77939098,21.62476012,-2.130997054,54.8679096
FONCIERE INEA,0,4,A+,30,3,3,0,48,17,36,Non,H,61,56 - 65,Non,14,-6.130984234,-2.355606707,-1.141887538,-66.04642759,-1.773921201,2.805970149,2.833688699,10.82887368,10.18631974,3.841390977,12.11676012,-2.130997054,27.7619096
GAUMONT,0,28,D,10,1,1,1,24,18,11,Oui,H,81,> 75,Non,6,-16.58798423,-2.397606707,-1.211887538,-43.36042759,-0.773921201,-2.194029851,0.833688699,12.61587368,12.48631974,4.675390977,14.14076012,-2.130997054,3.290909605
GERARD PERRIER INDUSTRIE,0,14,D,16,0,0,0,17,11,10,Non,F,53,46 - 55,Non,1,-14.44898423,-0.895606707,-0.423887538,-91.76342759,-0.773921201,2.805970149,1.833688699,25.81987368,28.56531974,13.00839098,21.80976012,-2.130997054,4.955909605
GETLINK S E,0,158,B+,44,15,1,0,36,30,18,Oui,H,67,66 - 75,Non,18,-1.049984234,-0.500606707,-0.920887538,-105.5464276,-0.773921201,-3.194029851,-0.166311301,13.38387368,18.99931974,4.932390977,14.21276012,-2.130997054,13.5019096
GEVELOT SA,0,31,B+,10,2,2,2,14,11,5,Non,H,39,36 - 45,Non,14,-20.02198423,-2.593606707,-1.236887538,114.2925724,-1.773921201,3.805970149,2.833688699,14.16487368,13.63631974,5.979390977,15.30176012,-0.215997054,2.311909605
GL EVENTS,0,170,D,32,4,1,1,45,36,16,Oui,H,62,56 - 65,Oui,29,-15.99498423,-2.348606707,-1.358887538,-89.83742759,-1.773921201,-3.194029851,-4.166311301,16.45587368,19.58431974,5.415390977,14.69976012,-2.130997054,1.544909605
GROUPE CRIT,0,90,D,19,1,1,1,16,13,5,Non,H,82,> 75,Oui,53,-19.50998423,-1.487606707,-0.887887538,-70.11842759,-2.773921201,1.805970149,-0.166311301,27.25887368,31.27331974,11.98639098,22.45776012,-2.130997054,0.376909605
GROUPE GUILLIN,0,30,B+,17,0,0,0,9,6,4,Non,H,73,66 - 75,Non,26,-18.06198423,-1.194606707,-0.430887538,-92.87842759,-0.773921201,2.805970149,1.833688699,27.38987368,30.07131974,15.44339098,23.30176012,-2.130997054,7.548909605
GROUPE SFPI,0,101,D,27,3,3,2,29,16,20,Oui,H,63,56 - 65,Oui,35,-11.04898423,-1.821606707,-0.957887538,-106.5904276,1.226078799,0.805970149,1.833688699,18.27487368,21.15531974,8.561390977,14.89476012,-2.130997054,1.630909605
GUERBET,0,74,D,22,1,1,1,46,27,27,Oui,F,65,56 - 65,Non,8,-0.911984234,-0.416606707,-0.738887538,-83.65842759,-1.773921201,-2.194029851,-1.166311301,14.95487368,21.05931974,6.292390977,13.67576012,4.703002946,1.297909605
HERIGE,0,33,A+,13,10,10,0,34,21,24,Oui,F,59,56 - 65,Non,6,5.685015766,-2.555606707,-1.377887538,-71.26042759,-0.773921201,-2.194029851,-2.166311301,9.927873684,8.415319737,2.476390977,10.83576012,-2.130997054,-4.279090395
HERMES INTERNATIONAL,0,118,D,31,2,2,2,44,33,19,Non,H,54,46 - 55,Non,8,4.826015766,6.146393293,5.258112462,-67.30542759,-2.773921201,3.805970149,4.833688699,43.43087368,43.71331974,29.20139098,33.08276012,-2.130997054,26.7659096
HEXAOM,0,88,D,28,1,1,1,27,22,14,Non,H,71,66 - 75,Oui,33,-8.179984234,-1.028606707,-0.711887538,-87.40242759,-1.773921201,2.805970149,0.833688699,22.15787368,22.55531974,8.341390977,17.94776012,-2.130997054,-0.777090395
